Order ID,Amount,Profit,Quantity,Category,Sub-Category,Order Date,CustomerName,State,City
B-25601,737.5,-80.125,7.0,Furniture,Bookcases,2018-01-04,Bharat,Gujarat,Ahmedabad
B-25601,66.0,-12.0,5.0,Clothing,Stole,2018-01-04,Bharat,Gujarat,Ahmedabad
B-25601,8.0,-2.0,3.0,Clothing,Hankerchief,2018-01-04,Bharat,Gujarat,Ahmedabad
B-25601,80.0,-56.0,4.0,Electronics,Electronic Games,2018-01-04,Bharat,Gujarat,Ahmedabad
B-25602,168.0,-80.125,2.0,Electronics,Phones,2018-01-04,Pearl,Maharashtra,Pune
B-25602,424.0,-80.125,5.0,Electronics,Phones,2018-01-04,Pearl,Maharashtra,Pune
B-25602,737.5,108.875,4.0,Electronics,Phones,2018-01-04,Pearl,Maharashtra,Pune
B-25602,561.0,108.875,3.0,Clothing,Saree,2018-01-04,Pearl,Maharashtra,Pune
B-25602,119.0,-5.0,8.0,Clothing,Saree,2018-01-04,Pearl,Maharashtra,Pune
B-25603,737.5,-60.0,5.0,Clothing,Trousers,2018-03-04,Jahan,Madhya Pradesh,Bhopal
B-25603,24.0,-30.0,1.0,Furniture,Chairs,2018-03-04,Jahan,Madhya Pradesh,Bhopal
B-25603,193.0,-80.125,3.0,Clothing,Saree,2018-03-04,Jahan,Madhya Pradesh,Bhopal
B-25603,180.0,5.0,3.0,Clothing,Trousers,2018-03-04,Jahan,Madhya Pradesh,Bhopal
B-25603,116.0,16.0,4.0,Clothing,Stole,2018-03-04,Jahan,Madhya Pradesh,Bhopal
B-25603,107.0,36.0,6.0,Clothing,Stole,2018-03-04,Jahan,Madhya Pradesh,Bhopal
B-25603,12.0,1.0,2.0,Clothing,Hankerchief,2018-03-04,Jahan,Madhya Pradesh,Bhopal
B-25603,38.0,18.0,1.0,Clothing,Kurti,2018-03-04,Jahan,Madhya Pradesh,Bhopal
B-25604,65.0,17.0,2.0,Clothing,T-shirt,2018-03-04,Divsha,Rajasthan,Jaipur
B-25604,157.0,5.0,9.0,Clothing,Saree,2018-03-04,Divsha,Rajasthan,Jaipur
B-25605,75.0,0.0,7.0,Clothing,Saree,2018-05-04,Kasheen,West Bengal,Kolkata
B-25606,87.0,4.0,2.0,Clothing,Shirt,2018-06-04,Hazel,Karnataka,Bangalore
B-25607,50.0,15.0,4.0,Clothing,Leggings,2018-06-04,Sonakshi,Jammu and Kashmir,Kashmir
B-25608,737.5,-80.125,5.0,Furniture,Tables,2018-08-04,Aarushi,Tamil Nadu,Chennai
B-25608,476.0,0.0,3.0,Furniture,Chairs,2018-08-04,Aarushi,Tamil Nadu,Chennai
B-25608,257.0,23.0,5.0,Clothing,Hankerchief,2018-08-04,Aarushi,Tamil Nadu,Chennai
B-25608,737.5,108.875,6.0,Electronics,Printers,2018-08-04,Aarushi,Tamil Nadu,Chennai
